,Boroughs,Neighborhood,City,Country,latitude,longitude
0,Mitte,Mitte,Berlin,Germany,52.5176896,13.4023757
1,Mitte,Moabit,Berlin,Germany,52.5301017,13.3425422
2,Mitte,Hansaviertel,Berlin,Germany,52.5191234,13.3418725
3,Mitte,Tiergarten,Berlin,Germany,52.5097776,13.3572597
4,Mitte,Wedding,Berlin,Germany,52.550123,13.34197
5,Mitte,Gesundbrunnen,Berlin,Germany,52.5509201,13.384846
6,Friedrichshain-Kreuzberg,Friedrichshain,Berlin,Germany,52.5122154,13.4502904
7,Friedrichshain-Kreuzberg,Kreuzberg,Berlin,Germany,52.4976443,13.411914
8,Pankow,Prenzlauer Berg,Berlin,Germany,52.5398466,13.4285652
9,Pankow,Weißensee,Berlin,Germany,52.5546193,13.4630018
10,Pankow,Blankenburg,Berlin,Germany,51.8208897,10.9707340958939
11,Pankow,Heinersdorf,Berlin,Germany,52.5728248,13.4370149
12,Pankow,Karow,Berlin,Germany,52.6150868,13.4862758
13,Pankow,Stadtrandsiedlung Malchow,Berlin,Germany,52.5710194,13.4632849
14,Pankow,Pankow,Berlin,Germany,52.59766255,13.436351401882
15,Pankow,Blankenfelde,Berlin,Germany,52.6186272,13.3884468
16,Pankow,Buch,Berlin,Germany,52.6366724,13.4999292
17,Pankow,Französisch Buchholz,Berlin,Germany,52.6105131,13.4281104
18,Pankow,Niederschönhausen,Berlin,Germany,52.5858062,13.401397
19,Pankow,Rosenthal,Berlin,Germany,52.5983189,13.3755194
20,Pankow,Wilhelmsruh,Berlin,Germany,52.5880115,13.3622059
21,Charlottenburg-Wilmersdorf,Charlottenburg,Berlin,Germany,52.515747,13.3096834
22,Charlottenburg-Wilmersdorf,Wilmersdorf,Berlin,Germany,52.4871152,13.3203298
23,Charlottenburg-Wilmersdorf,Schmargendorf,Berlin,Germany,52.4789022,13.2929962
24,Charlottenburg-Wilmersdorf,Grunewald,Berlin,Germany,52.4873475,13.2637538
25,Charlottenburg-Wilmersdorf,Westend,Berlin,Germany,52.5133992,13.2558416
26,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,Berlin,Germany,52.5405253,13.2962663
