,Boroughs,Neighborhood,City,Country
0,Mitte,Mitte,Berlin,Germany
1,Mitte,Moabit,Berlin,Germany
2,Mitte,Hansaviertel,Berlin,Germany
3,Mitte,Tiergarten,Berlin,Germany
4,Mitte,Wedding,Berlin,Germany
5,Mitte,Gesundbrunnen,Berlin,Germany
6,Friedrichshain-Kreuzberg,Friedrichshain,Berlin,Germany
7,Friedrichshain-Kreuzberg,Kreuzberg,Berlin,Germany
8,Pankow,Prenzlauer Berg,Berlin,Germany
9,Pankow,Weißensee,Berlin,Germany
10,Pankow,Blankenburg,Berlin,Germany
11,Pankow,Heinersdorf,Berlin,Germany
12,Pankow,Karow,Berlin,Germany
13,Pankow,Stadtrandsiedlung Malchow,Berlin,Germany
14,Pankow,Pankow,Berlin,Germany
15,Pankow,Blankenfelde,Berlin,Germany
16,Pankow,Buch,Berlin,Germany
17,Pankow,Französisch Buchholz,Berlin,Germany
18,Pankow,Niederschönhausen,Berlin,Germany
19,Pankow,Rosenthal,Berlin,Germany
20,Pankow,Wilhelmsruh,Berlin,Germany
21,Charlottenburg-Wilmersdorf,Charlottenburg,Berlin,Germany
22,Charlottenburg-Wilmersdorf,Wilmersdorf,Berlin,Germany
23,Charlottenburg-Wilmersdorf,Schmargendorf,Berlin,Germany
24,Charlottenburg-Wilmersdorf,Grunewald,Berlin,Germany
25,Charlottenburg-Wilmersdorf,Westend,Berlin,Germany
26,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,Berlin,Germany
27,Charlottenburg-Wilmersdorf,Halensee,Berlin,Germany
28,Spandau,Spandau,Berlin,Germany
29,Spandau,Haselhorst,Berlin,Germany
30,Spandau,Siemensstadt,Berlin,Germany
31,Spandau,Staaken,Berlin,Germany
32,Spandau,Gatow,Berlin,Germany
33,Spandau,Kladow,Berlin,Germany
34,Spandau,Hakenfelde,Berlin,Germany
35,Spandau,Falkenhagener Feld,Berlin,Germany
36,Spandau,Wilhelmstadt,Berlin,Germany
37,Steglitz-Zehlendorf,Steglitz,Berlin,Germany
38,Steglitz-Zehlendorf,Lichterfelde,Berlin,Germany
39,Steglitz-Zehlendorf,Lankwitz,Berlin,Germany
40,Steglitz-Zehlendorf,Zehlendorf,Berlin,Germany
41,Steglitz-Zehlendorf,Dahlem,Berlin,Germany
42,Steglitz-Zehlendorf,Nikolassee,Berlin,Germany
43,Steglitz-Zehlendorf,Wannsee,Berlin,Germany
44,Tempelhof-Schöneberg,Schöneberg,Berlin,Germany
45,Tempelhof-Schöneberg,Friedenau,Berlin,Germany
46,Tempelhof-Schöneberg,Tempelhof,Berlin,Germany
47,Tempelhof-Schöneberg,Mariendorf,Berlin,Germany
48,Tempelhof-Schöneberg,Marienfelde,Berlin,Germany
49,Tempelhof-Schöneberg,Lichtenrade,Berlin,Germany
50,Neukölln,Neukölln,Berlin,Germany
51,Neukölln,Britz,Berlin,Germany
52,Neukölln,Buckow,Berlin,Germany
53,Neukölln,Rudow,Berlin,Germany
54,Neukölln,Gropiusstadt,Berlin,Germany
55,Treptow-Köpenick,Alt-Treptow,Berlin,Germany
56,Treptow-Köpenick,Plänterwald,Berlin,Germany
57,Treptow-Köpenick,Baumschulenweg,Berlin,Germany
58,Treptow-Köpenick,Johannisthal,Berlin,Germany
59,Treptow-Köpenick,Niederschöneweide,Berlin,Germany
60,Treptow-Köpenick,Altglienicke,Berlin,Germany
61,Treptow-Köpenick,Adlershof,Berlin,Germany
62,Treptow-Köpenick,Bohnsdorf,Berlin,Germany
63,Treptow-Köpenick,Oberschöneweide,Berlin,Germany
64,Treptow-Köpenick,Köpenick,Berlin,Germany
65,Treptow-Köpenick,Friedrichshagen,Berlin,Germany
66,Treptow-Köpenick,Rahnsdorf,Berlin,Germany
67,Treptow-Köpenick,Grünau,Berlin,Germany
68,Treptow-Köpenick,Müggelheim,Berlin,Germany
69,Treptow-Köpenick,Schmöckwitz,Berlin,Germany
70,Marzahn-Hellersdorf,Marzahn,Berlin,Germany
71,Marzahn-Hellersdorf,Biesdorf,Berlin,Germany
72,Marzahn-Hellersdorf,Kaulsdorf,Berlin,Germany
73,Marzahn-Hellersdorf,Mahlsdorf,Berlin,Germany
74,Marzahn-Hellersdorf,Hellersdorf,Berlin,Germany
75,Lichtenberg,Friedrichsfelde,Berlin,Germany
76,Lichtenberg,Karlshorst,Berlin,Germany
77,Lichtenberg,Lichtenberg,Berlin,Germany
78,Lichtenberg,Falkenberg,Berlin,Germany
79,Lichtenberg,Malchow,Berlin,Germany
80,Lichtenberg,Wartenberg,Berlin,Germany
81,Lichtenberg,Neu-Hohenschönhausen,Berlin,Germany
82,Lichtenberg,Alt-Hohenschönhausen,Berlin,Germany
83,Lichtenberg,Fennpfuhl,Berlin,Germany
84,Lichtenberg,Rummelsburg,Berlin,Germany
85,Reinickendorf,Reinickendorf,Berlin,Germany
86,Reinickendorf,Tegel,Berlin,Germany
87,Reinickendorf,Konradshöhe,Berlin,Germany
88,Reinickendorf,Heiligensee,Berlin,Germany
89,Reinickendorf,Frohnau,Berlin,Germany
90,Reinickendorf,Hermsdorf,Berlin,Germany
91,Reinickendorf,Waidmannslust,Berlin,Germany
92,Reinickendorf,Lübars,Berlin,Germany
93,Reinickendorf,Wittenau,Berlin,Germany
94,Reinickendorf,Märkisches Viertel,Berlin,Germany
95,Reinickendorf,Borsigwalde,Berlin,Germany
